,﻿achieve_1,achieve_2,achieve_3,achieve_4,achieve_5,achieve_6,self_1,self_2,self_3,self_4,self_5,self_6,self_7,self_8,curio_1,curio_2,curio_3,curio_4,curio_5,curio_6,curio_7,curio_8,curio_9,curio_10,curio_11,info_1,info_2,info_3,info_4,info_5,info_6,inter_d_1,inter_d_2,inter_d_3,inter_d_4,inter_d_5,inter_d_6,inter_d_7,inter_d_8,deci_1,deci_2,deci_3,deci_4,deci_5
1,0,2,1,0,0,3,0,2,3,2,3,2,1,0,0,0,1,1,1,0,1,2,1,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,3,3,2,2,2
2,0,3,2,2,0,2,0,4,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,4,0,4,2,2
3,0,2,4,1,1,1,2,0,0,3,1,0,1,3,1,1,3,1,0,0,0,1,0,0,0,0,1,1,0,0,1,2,0,1,2,2,4,3,0,1,2,4,0,4
4,2,2,2,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,4,4,0,2,2,4,0,0,0,0,0,0,0,4,2,2,1,2,2,0,3,1,2,2,2,4
5,1,2,0,0,0,2,1,2,0,2,2,0,1,2,0,0,0,0,1,2,0,1,0,2,0,0,1,0,0,0,2,4,4,4,4,0,0,0,0,4,4,4,2,3
6,1,1,3,1,1,1,0,1,1,2,3,0,0,3,0,1,2,0,1,2,0,3,0,0,0,0,0,0,0,0,0,4,3,3,1,1,3,1,2,1,4,4,2,2
7,3,2,4,2,3,2,0,0,0,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,4,2,2,0,0,4,2,4,4,4
8,3,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,4,4,1,0,0,4,0,4,0,0,1,0,0,1,0,4,4,4,4,0,0,1,0,4,0,3,4,3
9,1,0,2,2,1,2,2,4,2,2,3,1,1,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
10,3,2,1,1,2,1,2,1,1,1,1,0,1,2,0,0,0,1,1,1,1,4,1,0,1,0,0,1,2,0,3,2,1,2,0,0,2,1,1,3,3,3,4,4
11,0,1,1,0,1,1,4,1,0,1,3,2,0,4,3,2,4,0,0,2,0,2,0,3,0,0,0,0,1,0,0,3,2,1,1,1,0,3,0,2,1,4,4,4
12,0,1,0,0,1,1,3,2,0,3,1,1,2,4,2,2,4,1,1,3,0,3,0,0,1,0,1,0,0,2,0,2,0,0,3,0,1,2,1,2,2,4,4,3
13,4,3,1,0,3,2,1,1,1,3,0,0,3,0,0,0,0,0,0,2,0,1,3,0,0,1,0,2,2,0,2,2,2,2,2,2,2,2,2,3,2,2,2,3
14,0,0,0,0,2,1,1,0,1,2,1,0,1,3,1,2,2,1,1,2,0,3,2,2,1,0,1,1,1,0,1,3,2,3,2,2,0,2,1,4,2,3,4,3
15,3,1,1,2,0,2,0,3,1,2,2,2,2,3,2,1,2,0,0,2,0,1,2,0,1,0,0,0,0,0,2,3,0,1,3,1,0,2,2,4,4,3,3,3
16,1,1,2,0,1,1,3,3,2,3,3,2,1,3,4,3,3,0,0,2,0,2,1,0,0,0,2,3,2,1,2,0,0,0,2,1,0,0,4,1,4,4,0,1
17,1,1,2,2,1,2,2,3,1,2,3,0,1,1,1,1,2,1,1,2,1,2,1,0,1,1,2,1,1,1,3,1,1,2,2,1,1,1,1,3,2,3,3,3
18,2,1,3,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,3,1,2,1,1,1,3,3,3,3
19,3,2,0,1,1,2,3,4,1,1,4,0,0,3,3,1,1,1,2,2,2,1,3,1,2,1,1,1,1,0,0,2,0,0,2,1,2,2,0,2,1,3,4,2
20,0,3,2,0,4,2,0,4,0,3,4,0,1,4,0,0,4,2,2,3,0,3,2,0,1,0,0,0,0,0,0,2,0,0,2,0,0,1,2,4,4,4,4,4
21,2,2,0,1,0,2,0,2,4,0,1,0,0,4,0,1,3,0,0,0,0,3,3,2,4,3,0,2,0,1,3,1,1,3,3,2,0,3,0,3,4,3,1,4
22,2,1,2,0,2,1,3,1,1,3,4,1,3,1,1,0,0,3,0,2,1,0,0,0,0,0,1,1,0,0,1,1,1,3,1,3,2,3,3,4,4,4,4,4
23,3,2,0,3,4,4,3,3,2,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,4,4,4,4,4
24,1,1,3,0,2,2,3,1,1,3,4,0,1,4,3,0,1,0,0,3,2,0,3,1,0,0,2,0,1,0,1,2,2,1,1,2,0,2,2,4,1,4,4,4
25,3,2,3,3,3,1,1,4,2,2,2,4,3,3,0,0,0,0,4,3,0,3,1,4,3,0,0,0,0,0,0,1,0,3,3,0,0,1,2,0,4,4,0,1
26,3,1,1,0,1,2,1,3,3,3,3,2,2,4,3,0,3,1,0,2,2,1,3,1,0,0,2,0,1,0,1,3,2,3,3,3,1,3,2,1,1,1,0,2
27,3,2,2,0,2,0,2,1,2,3,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,3,3,1,0,1,2,3,2,3,3,4
28,2,1,2,2,2,0,1,1,2,2,2,3,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,2,3,2,1,1,2,1,3,3,3,3,2
29,2,2,2,1,2,2,1,1,1,3,2,4,1,3,2,1,2,1,1,2,0,0,2,1,2,0,0,1,0,0,1,2,2,2,3,1,2,1,2,3,3,4,2,4
